title,soup
"o brother, where art thou? (2000)","where bluegrass o adventure brother, comedy art crime thou? (2000)"
state and main (2000),movies and main drama comedy state (2000)
traffic (2000),tv drugs show drama based thriller crime traffic on a (2000)
friendly persuasion (1956),drama friendly quakers persuasion (1956)
"with a friend like harry... (harry, un ami qui vous veut du bien) (2000)","friend like du bien) vous drama harry... ami qui thriller psychopaths with un veut a (2000) (harry,"
"evil dead, the (1981)","(1981) zombies evil dead, thriller horror fantasy the"
"glass menagerie, the (1987)","menagerie, williams glass drama tennessee (1987) the"
hope and glory (1987),hope netflix queue drama and (1987) in glory
my demon lover (1987),lover (1987) demon comedy horror demons my
in the mood for love (fa yeung nin wa) (2000),melancholic atmospheric melancholy long romantic drama mood nin bittersweet moody stunning takes yeung appealing elegant the heartbreaking romance nocturnal (fa dreamy for (2000) visually intimate loneliness wa) unique in beautiful longing love
"widow of st. pierre, the (veuve de saint-pierre, la) (2000)","de death of saint-pierre, drama (veuve la) romance st. pierre, widow penalty (2000) the"
"caveman's valentine, the (2001)","new valentine, drama homeless caveman's york (2001) the"
series 7: the contenders (2001),reality tv drama action series 7: contenders (2001) the
long night's journey into day (2000),night's into long journey eugene day documentary o'neill (2000)
avalon (1990),netflix queue drama in avalon (1990)
"bishop's wife, the (1947)","wife, drama bishop's comedy romance christmas (1947) the"
"greatest story ever told, the (1965)","told, bible (1965) drama story greatest ever religion the"
elmer gantry (1960),gantry (1960) drama preacher elmer religion
alfie (1966),drama (1966) comedy romance sexuality alfie
i know where i'm going! (1945),netflix (1945) know queue where i'm drama war in romance i going!
losin' it (1983),it (1983) virginity comedy losin'
manhunter (1986),killer lecter hannibal drama (1986) action manhunter thriller crime horror serial
reversal of fortune (1990),fortune of von drama bulow reversal (1990)
revenge of the nerds (1984),of revenge (1984) comedy college nerds the
river's edge (1986),netflix river's edge queue drama (1986) in crime
necessary roughness (1991),roughness (1991) comedy necessary football
enemy at the gates (2001),harris at ed sniper world ii law jude rachel drama war gates weisz enemy (2001) the
memento (2000),ending psychological cerebral mindfuck dreamlike memory backwards. twist mystery thriller nonlinear psychology (2000) memento dark
spy kids (2001),spying children (2001) kids action adventure comedy spy
bridget jones's diary (2001),diary jones's drama comedy romance singletons bridget (2001)
"luzhin defence, the (2000)","defence, nabokov luzhin drama romance (2000) the"
scarface (1983),(1983) scarface drama al action crime pacino
days of wine and roses (1962),wine of and drama days alcoholism (1962) roses
norma rae (1979),union drama rae (1979) norma
love story (1970),death drama romance (1970) story love
shrek (2001),children fairy animation tales adventure comedy romance fantasy (2001) shrek
himalaya (himalaya - l'enfance d'un chef) (1999),netflix queue himalaya - chef) (1999) adventure drama in (himalaya d'un l'enfance
ice castles (1978),(1978) figure drama castles skating ice
mississippi burning (1988),mississippi drama rasicm thriller crime (1988) burning race
throw momma from the train (1987),momma throw from train (1987) comedy crime on strangers a the
evolution (2001),sci-fi really bad evolution comedy seann scott william (2001)
divided we fall (musíme si pomáhat) (2000),si we drama (musíme pomáhat) comedy divided fall holocaust (2000)
gentlemen prefer blondes (1953),netflix queue prefer in comedy romance gentlemen blondes (1953) musical
"seven year itch, the (1955)","itch, year (1955) adultery comedy seven the"
tootsie (1982),(1982) tootsie men drag in romance comedy
a.i. artificial intelligence (2001),sci-fi android(s)/cyborg(s) drama a.i. steven adventure intelligence spielberg artificial robots bittersweet (2001)
"princess and the warrior, the (krieger und die kaiserin, der) (2000)","und accident kaiserin, and drama warrior, (krieger der) romance die princess (2000) the"
"cannonball run, the (1981)","(1981) race action comedy run, cannonball the"
faust (1926),netflix queue drama in faust horror fantasy (1926)
final fantasy: the spirits within (2001),sci-fi final animation within fantasy: adventure spirits fantasy (2001) the
legally blonde (2001),blonde comedy romance legally (2001) lawyers
"score, the (2001)","heist drama action score, boring (2001) the"
more (1998),sci-fi dystopia to download dialogue drama animation free more (1998) no imax social creativity commentary imagination claymation
"accused, the (1988)","accused, drama (1988) the rape"
big business (1988),twins comedy (1988) big business
big top pee-wee (1988),children circus pee-wee adventure comedy (1988) top big
coming to america (1988),to comedy romance (1988) america coming africa immigrants
crossing delancey (1988),new comedy romance crossing york (1988) delancey
my stepmother is an alien (1988),sci-fi is aliens alien stepmother comedy romance (1988) my an
running on empty (1988),drama (1988) on running empty hippies
short circuit (1986),sci-fi (1986) comedy circuit robots short
"vanishing, the (spoorloos) (1988)","drama kidnapping vanishing, thriller (1988) (spoorloos) remade the"
"tetsuo, the ironman (tetsuo) (1988)","visually sci-fi gritty surreal stunning atmospheric (tetsuo) ""artsy"" hallucinatory action ironman thriller (1988) horror tetsuo, the"
twins (1988),comedy twins (1988)
bill & ted's excellent adventure (1989),time sci-fi & travel adventure comedy (1989) bill ted's excellent
gross anatomy (a.k.a. a cut above) (1989),above) drama comedy gross (1989) doctors (a.k.a. anatomy cut a
jesus of montreal (jésus de montréal) (1989),de of spectator montreal (jésus drama (1989) reciprocal montréal) jesus
look who's talking (1989),look who's babies comedy romance (1989) talking
major league (1989),baseball comedy (1989) league major
jurassic park iii (2001),sci-fi jurassic park iii action adventure thriller dinosaurs (2001)
america's sweethearts (2001),america's movie comedy romance hollywood sweethearts (2001) business
ghost world (2001),world drama comedy ghost adolescence (2001)
turner & hooch (1989),hooch & turner comedy crime (1989) dogs
uhf (1989),uhf television (1989) comedy
black robe (1991),netflix queue (1991) robe drama in adventure black
marat/sade (1966),spectator drama (1966) reciprocal marat/sade musical
session 9 (2001),done session mental suspense well psychology thriller horror 9 (2001) hospital
little man tate (1991),little tate (1991) drama man prodigies
"little foxes, the (1941)","(1941) little drama foxes, family the"
"vanishing, the (1993)","remake (1993) vanishing, mystery thriller the"
silkwood (1983),union (1983) drama silkwood nuclear disaster
spacecamp (1986),nasa sci-fi spacecamp (1986) adventure space
zoolander (2001),ben one bowie liners zoolander comedy ferrell will stiller mindless goofy david (2001)
serendipity (2001),serendipity wedding comedy romance (2001)
coal miner's daughter (1980),coal drama (1980) lynn loretta miner's daughter
fiddler on the roof (1971),fiddler drama roof judaism on tradition! (1971) musical the
k-pax (2001),sci-fi aliens drama psychiatrist mystery fantasy k-pax (2001)
donnie darko (2001),surreal atmospheric darko drama psychology social commentary philosophy gyllenhaal weird (2001) sci-fi teen travel dreamlike film thriller cerebral psychological mindfuck hallucinatory illness donnie cult time mental enigmatic thought-provoking jake mystery quirky
"man who wasn't there, the (2001)","wasn't brothers drama who man there, crime coen (2001) the"
harry potter and the sorcerer's stone (a.k.a. harry potter and the philosopher's stone) (2001),potter and here stone) fantasy (2001) sorcerer's you rickman philosopher's adventure wizards everything alan the harry want humorous children is magic stone (a.k.a.
"devil's backbone, the (espinazo del diablo, el) (2001)","devil's ghosts diablo, el) drama (espinazo del war thriller backbone, horror fantasy (2001) the"
"now, voyager (1942)","now, drama romance voyager psychology (1942)"
ocean's eleven (2001),heist thriller crime ocean's eleven (2001)
and then there were none (1945),netflix (1945) there queue were and in mystery crime then none
"blue angel, the (blaue engel, der) (1930)","blue engel, nightclub drama the der) (1930) angel, singers (blaue"
"amelie (fabuleux destin d'amélie poulain, le) (2001)","(fabuleux le) (2001) whimsical d'amélie comedy romance amelie poulain, destin"
"royal tenenbaums, the (2001)","royal new drama tenenbaums, comedy york (2001) the"
bill & ted's bogus journey (1991),time sci-fi & (1991) travel journey adventure comedy bogus bill fantasy ted's
"lord of the rings: the fellowship of the ring, the (2001)","of magic tolkein adventure lord rings: fellowship high wizards ring, fantasy mythology (2001) tolkien the"
"beautiful mind, a (2001)","mathematics a drama beautiful romance mind, (2001)"
"defiant ones, the (1958)","(1958) defiant ones, drama adventure thriller crime racism the"
witness for the prosecution (1957),drama mystery thriller prosecution agatha (1957) court witness christie for the
yentl (1983),(1983) yentl drama dressing romance judaism cross musical
monster's ball (2001),drama romance monster's ball (2001) race
"truly, madly, deeply (1991)","madly, (1991) drama deeply romance ghost truly,"
the count of monte cristo (2002),of revenge count dumas remake drama action adventure thriller (2002) monte cristo the
"going places (valseuses, les) (1974)","places (1974) drama going comedy crime irreverent (valseuses, les)"
"bad and the beautiful, the (1952)","beautiful, bad (1952) movie and drama business the"
sleuth (1972),netflix queue in sleuth mystery thriller comedy (1972)
monsoon wedding (2001),wedding comedy romance india monsoon (2001)
"bad news bears, the (1976)","bad bears, baseball comedy (1976) news the"
"oh, god! book ii (1980)","ii book god! (1980) oh, comedy religion"
promises (2001),netflix queue in promises documentary (2001)
return of the secaucus 7 (1980),netflix of queue return 7 drama secaucus in (1980) the
blade ii (2002),ii snipes movie action blade wesley thriller (2002) horror great
panic room (2002),room panic thriller crime (2002)
rashomon (rashômon) (1950),netflix rashomon white queue drama and (1950) in mystery crime black samurai (rashômon)
frailty (2001),frailty drama thriller crime religion (2001)
"rome, open city (a.k.a. open city) (roma, città aperta) (1945)","netflix (1945) aperta) queue city) drama war rome, (roma, in (a.k.a. open città city"
enigma (2001),ii world enigma war romance thriller (2001)
spider-man (2002),sci-fi superhero action adventure thriller (2002) spider-man
butterflies are free (1972),butterflies drama free comedy are (1972) blind
about a boy (2002),about boy drama comedy romance (2002) nick a hornby
"believer, the (2001)","drama believer, judaism anti-semitism (2001) the"
insomnia (2002),insomnia swank williams atmospheric drama al action thought-provoking mystery thriller crime (2002) pacino robin hilary
requiem for a heavyweight (1962),drama heavyweight boxing requiem (1962) for a
84 charing cross road (1987),84 road drama (1987) romance cross books charing
minority report (2002),sci-fi report action mystery thriller crime (2002) future minority
rabbit-proof fence (2002),rabbit-proof drama adventure australia (2002) fence
lovely & amazing (2001),amazing & drama women lovely comedy romance sisterhood (2001)
pumpkin (2002),pumpkin disability mental drama illness comedy romance (2002)
men in black ii (a.k.a. miib) (a.k.a. mib 2) (2002),sci-fi ii much men mib miib) in action sequel comedy was black crappy (2002) (a.k.a. 2) first better
road to perdition (2002),cinematography tom to hanks road drama crime (2002) perdition
the importance of being earnest (1952),oscar of (1952) earnest comedy romance wilde importance being the
z (1969),netflix queue drama z in mystery thriller (1969)
"kid stays in the picture, the (2002)","kid movie in picture, documentary (2002) stays business the"
red beard (akahige) (1965),netflix queue (akahige) drama (1965) in red beard
signs (2002),signs sci-fi aliens thriller (2002) horror
"good girl, the (2002)","girl, younger men drama adultery comedy (2002) good the"
possession (2002),as drama byatt romance books (2002) possession
one hour photo (2002),photo one drama hour psychopaths thriller (2002) photography
down and out in beverly hills (1986),out down hills and (1986) in homeless comedy beverly
igby goes down (2002),down igby drama goes comedy (2002) adolescence
"yearling, the (1946)","children animal movie drama the yearling, (1946)"
"lavender hill mob, the (1951)","heist hill lavender comedy crime mob, (1951) the"
spirited away (sen to chihiro no kamikakushi) (2001),spirited to kamikakushi) animation adventure anime no chihiro (sen fantasy (2001) away
jonah: a veggietales movie (2002),veggietales jonah: children bible movie animation (2002) a musical
red dragon (2002),lecter hannibal dragon mystery red crime thriller (2002)
heaven (2002),heaven drama bombs (2002)
"pride of the yankees, the (1942)","yankees, pride lou gehrig of baseball drama (1942) the"
bowling for columbine (2002),violence in columbine documentary bowling (2002) america for
punch-drunk love (2002),surreal drama anger tense wistful comedy bittersweet punch-drunk symbolism pudding sad unconventional hallucinatory romance unique awkward (2002) love quirky
"grey zone, the (2001)","drama grey zone, holocaust (2001) the"
real women have curves (2002),curves have real drama women comedy girl (2002) power
grave of the fireflies (hotaru no haka) (1988),(hotaru cry tragedy drama jerker (1988) orphans fireflies tear animation war grave downbeat me haka) the of poignant made grim beautiful tragic no
staying alive (1983),(1983) drama 70mm comedy staying alive musical
"chosen, the (1981)","netflix (1981) queue chosen, drama in judaism the"
gallipoli (1981),world gallipoli (1981) war drama i
frida (2002),drama romance art (2002) frida
roger dodger (2002),roger drama comedy (2002) dating dodger
"world of henry orient, the (1964)","world of teenagers henry comedy orient, (1964) the"
far from heaven (2002),heaven douglas to from drama sirk far romance (2002) salute
harry potter and the chamber of secrets (2002),harry potter of magic and adventure chamber secrets wizards (2002) fantasy the
standing in the shadows of motown (2002),of standing business shadows in motown music documentary (2002) musical the
personal velocity (2002),velocity films drama (2002) personal short
"quiet american, the (2002)","graham american, drama quiet war thriller greene (2002) the"
talk to her (hable con ella) (2002),to (hable her drama talk romance (2002) coma con ella)
zulu (1964),war drama action zulu africa (1964)
"lord of the rings: the two towers, the (2002)","of tolkein towers, two adventure lord rings: (2002) fantasy myth the"
25th hour (2002),nightclub drama hour crime (2002) 25th
my neighbor totoro (tonari no totoro) (1988),neighbor children animation drama (tonari anime totoro no (1988) fantasy totoro) my
catch me if you can (2002),can catch turns & drama leonardo dicaprio tom you lies me crime if intelligent smart cheating hanks twists (2002)
chicago (2002),chicago murder drama comedy crime (2002) jazz court musical
nicholas nickleby (2002),nicholas drama romance nickleby (2002) dickens
"pianist, the (2002)","true war drama pianist, story (2002) holocaust the"
love liza (2002),drugs planes drama widows/widowers liza (2002) love
confessions of a dangerous mind (2002),of drama dangerous confessions comedy thriller crime (2002) mind television a
city of god (cidade de deus) (2002),storylines true seen drama city violence deus) adventure thriller crime of not story (cidade de action god (2002) multiple photography
alice adams (1935),alice drama (1935) comedy class adams
dogfight (1991),netflix queue (1991) drama in dogfight romance
imitation of life (1959),imitation (1959) of motherhood drama life romance race
amen. (2002),netflix queue drama in amen. (2002)
final destination 2 (2003),destination 2 sequel violent thriller horror (2003) final
may (2002),drama (2002) horror doll may
kiss me goodbye (1982),(1982) ghosts kiss goodbye me comedy
missing (1982),(1982) missing politics drama chile mystery thriller south america
monty python live at the hollywood bowl (1982),(1982) at live bowl spoof hollywood comedy python monty the
"night of the shooting stars (notte di san lorenzo, la) (1982)","(1982) ii world of shooting di lorenzo, (notte drama war la) san stars night the"
shanghai knights (2003),shanghai action adventure england comedy knights (2003)
daredevil (2003),ben bad action affleck crime daredevil (2003)
all the real girls (2003),girls real drama all romance adolescence (2003) the
he loves me... he loves me not (à la folie... pas du tout) (2002),folie... la not (à me... he me romance pas thriller (2002) loves obsession tout) du
"black stallion, the (1979)","horses children drama adventure black stallion, (1979) the"
"patch of blue, a (1965)","blue, of (1965) drama romance patch blindness a blind race"
"red badge of courage, the (1951)","crane of courage, badge drama war red civil (1951) stephen the"
pillow talk (1959),(1959) and day talk comedy romance hudson sexuality pillow musical
old school (2003),school old comedy ferrell will (2003)
stone reader (2002),stones of stone reader books documentary (2002) summer
spider (2002),mental drama illness mystery (2002) spider
lady jane (1986),drama (1986) england jane romance lady
irreversible (irréversible) (2002),(irréversible) drama mystery thriller crime disturbing (2002) irreversible dark
nowhere in africa (nirgendwo in afrika) (2001),afrika) ii world drama (nirgendwo in war nowhere africa (2001)
bend it like beckham (2002),it like bend drama comedy romance beckham (2002) soccer
"talk of the town, the (1942)","netflix of queue town, in talk comedy romance (1942) thriller the"
born free (1966),children born animal movie (1966) free drama adventure lions
europa europa (hitlerjunge salomon) (1990),europa world ii salomon) drama war (hitlerjunge holocaust (1990)
green card (1990),card drama comedy romance green (1990) immigrants
ringu (ring) (1998),ringu mystery (1998) thriller horror (ring) television
salaam bombay! (1988),netflix queue drama salaam bombay! in (1988)
sweet charity (1969),drama sweet comedy romance (1969) charity musical prostitution
"awful truth, the (1937)","awful (1937) comedy truth, romance screwball the"
raising victor vargas (2002),victor vargas drama comedy romance (2002) raising adolescence
stevie (2002),brothers documentary (2002) stevie big
in a lonely place (1950),place drama (1950) in lonely mystery romance l.a. film-noir a
phone booth (2002),drama thriller crime phone (2002) booth
cowboy bebop: the movie (cowboy bebop: tengoku no tobira) (2001),sci-fi (cowboy cowboy artwork (2001) amazing movie animation bebop: action thriller no anime tobira) tengoku the
"man without a past, the (mies vailla menneisyyttä) (2002)","menneisyyttä) (mies past, drama man comedy vailla crime (2002) amnesia without a the"
better luck tomorrow (2002),gangs luck drama crime (2002) tomorrow better
ghosts of the abyss (2003),ghosts of titanic documentary imax (2003) abyss the
house of 1000 corpses (2003),of zombie horror corpses rob (2003) 1000 house
lilya 4-ever (lilja 4-ever) (2002),lilya melancholy drama sad depressing (lilja crime (2002) 4-ever) 4-ever prostitution
"mighty wind, a (2003)","mighty mockumentary wind, comedy (2003) a musical"
holes (2003),children adventure holes comedy mystery (2003)
"winged migration (peuple migrateur, le) (2001)","migrateur, winged le) (peuple documentary migration birds (2001)"
fahrenheit 451 (1966),sci-fi bradbury 451 ray fahrenheit drama (1966)
legal eagles (1986),eagles (1986) comedy romance legal crime lawyers
identity (2003),identity cusack mystery thriller crime horror (2003) john
"decade under the influence, a (2003)","decade 1970s movies documentary influence, under (2003) a the"
spellbound (2002),spelling spellbound documentary (2002) bee
x2: x-men united (2003),sci-fi superhero x2: magneto rogue x-men jean action adventure grey thriller united wolverine (2003)
blue car (2002),blue teachers drama car (2002)
owning mahowny (2003),owning drama thriller crime gambling mahowny (2003)
"man on the train (homme du train, l') (2002)","train, l') train drama man comedy (2002) (homme on trains du the"
"shape of things, the (2003)","of (2003) drama shape art things, the"
laputa: castle in the sky (tenkû no shiro rapyuta) (1986),sci-fi laputa: rapyuta) children sky (1986) animation in (tenkû action adventure anime no fantasy castle shiro the
down with love (2003),renee down comedy romance ewan with retro zellweger (2003) love mcgregor
cinemania (2002),movies cinemania documentary (2002)
bruce almighty (2003),almighty drama comedy romance fantasy (2003) classic religion bruce
gigantic (a tale of two johns) (2002),netflix of queue they be two in might documentary (2002) gigantic giants (a tale johns)
finding nemo (2003),children finding animation nemo heartwarming adventure comedy fish (2003) disney
"italian job, the (2003)","heist italian action job, crime (2003) the"
capturing the friedmans (2003),friedmans child documentary abuse (2003) capturing the
whale rider (2002),drama whale girl rider (2002) power
silk stockings (1957),remake stockings ninotchka silk (1957) musical
murder on a sunday morning (un coupable idéal) (2001),sunday coupable (2001) (un morning idéal) documentary crime on murder a
"walk, don't run (1966)","walk, don't olympics (1966) run comedy romance tokyo"
shenandoah (1965),shenandoah drama (1965) war western civil
barton fink (1991),(1991) movie drama thriller fink barton business
"long, hot summer, the (1958)","netflix summer, hot (1958) queue drama in long, the"
music box (1989),nazis drama box music (1989)
mississippi masala (1991),netflix masala mississippi (1991) queue drama in romance
28 days later (2002),sci-fi later zombies action days 28 (2002) horror
you only live once (1937),once live (1937) you fugitive only crime film-noir
anastasia (1956),anastasia netflix queue drama in (1956)
hulk (2003),sci-fi bana hulk mad action adventure scientist dogs (2003) marvel eric
"legally blonde 2: red, white & blonde (2003)","white & politics blonde 2: red, comedy legally (2003)"
sinbad: legend of the seven seas (2003),legend children of animation adventure seas seven sinbad: fantasy (2003) swashbuckler the
pirates of the caribbean: the curse of the black pearl (2003),curse of (2003) action pearl adventure comedy black pirates fantasy caribbean: swashbuckler the
"league of extraordinary gentlemen, the (a.k.a. lxg) (2003)","league fantasy gothic (2003) sci-fi superhero captain comic wilson extraordinary lxg) connery the of peta book gentlemen, nemo action (a.k.a. sean"
i capture the castle (2003),dodie capture smith drama romance i (2003) castle the
northfork (2003),drama flood fantasy (2003) northfork
dirty pretty things (2002),pretty dirty things drama thriller crime (2002) immigration
lara croft tomb raider: the cradle of life (2003),jolie comedy tomb (2003) adventure thriller suit heroine angelina lara the of romance croft raider: action in life cradle tight
seabiscuit (2003),horses seabiscuit drama (2003)
"one, two, three (1961)","one, (1961) japan three comedy two,"
"magdalene sisters, the (2002)","magdalene drama sisters, (2002) religion the"
"secret lives of dentists, the (2002)","of drama secret marriage (2002) lives dentists, the"
"double life, a (1947)","life, drama crime double film-noir (1947) a othello"
"gospel according to st. matthew, the (vangelo secondo matteo, il) (1964)","to secondo matteo, bible drama according (vangelo matthew, gospel st. il) (1964) the"
american splendor (2003),drama comedy american splendor (2003) cancer
"sure thing, the (1985)","sure (1985) road trip thing, comedy romance the"
wait until dark (1967),(1967) drama thriller until wait blindness dark
kind hearts and coronets (1949),coronets and kind hearts drama comedy family multiple murder (1949) roles
"red shoes, the (1948)","drama romance shoes, red ballet fantasy (1948) musical the"
"pink panther, the (1963)","(1963) panther, comedy crime pink clousseau the"
waco: the rules of engagement (1997),(1997) waco: of engagement documentary rules fbi the
"road home, the (wo de fu qin mu qin) (1999)","de netflix home, road queue drama (1999) in fu romance mu qin) qin (wo the"
ikiru (1952),(1952) drama philosophical poignant purposefulness illness meditative ikiru terminal
matchstick men (2003),men drama comedy matchstick crime fatherhood (2003) con
dummy (2002),drama comedy romance (2002) dummy vertriloquism
lost in translation (2003),translation atmospheric drama japan in lost comedy romance (2003)
millennium actress (sennen joyû) (2001),netflix actress queue animation drama in millennium romance (sennen joyû) (2001)
paper moon (1973),netflix (1973) queue drama in comedy crime moon paper
"hello, dolly! (1969)","hello, matchmaker comedy romance (1969) dolly! musical"
once bitten (1985),once (1985) bitten comedy vampire horror
secondhand lions (2003),children secondhand animal movie drama lions comedy (2003)
luther (2003),religion (2003) drama luther
my life without me (2003),(2003) drama adultery illness life me romance terminal without my
"triplets of belleville, the (les triplettes de belleville) (2003)","de triplets of triplettes biking animation belleville, comedy (les fantasy (2003) belleville) the"
lagaan: once upon a time in india (2001),time once (2001) drama upon in musical comedy romance india a lagaan:
seven brides for seven brothers (1954),brides brothers lonesome comedy romance seven western (1954) polecat for musical
kiss of the spider woman (1985),netflix of (1985) queue kiss drama woman in spider the
all the president's men (1976),men deep drama watergate all journalism thriller (1976) president's throat the
angie (1994),angie drama pregnancy comedy romance (1994)
babette's feast (babettes gæstebud) (1987),(babettes feast drama (1987) gæstebud) babette's food
monty python's the meaning of life (1983),meaning of (1983) python's life comedy british monty the
sleeping with the enemy (1991),violence (1991) drama sleeping thriller with domestic enemy the
come and see (idi i smotri) (1985),smotri) see gritty (idi harsh (1985) atmospheric and drama war disturbing i come bleak
ginger snaps (2000),werewolf drama snaps ginger thriller horror (2000)
regarding henry (1991),regarding (1991) drama henry amnesia
scrooge (1970),scrooge drama (1970) christmas fantasy musical
in cold blood (1967),death (1967) blood white drama and cold in capote crime black murder penalty
yankee doodle dandy (1942),drama dandy (1942) yankee doodle biopic musical
school of rock (2003),of school rock comedy (2003) musical
"station agent, the (2003)","agent, drama station comedy (2003) trains the"
mystic river (2003),river drama kidnapping mystery child crime abuse mystic (2003)
kill bill: vol. 1 (2003),vol. martial revenge arts 1 action thriller bill: crime (2003) kill
pieces of april (2003),pieces of drama comedy thanksgiving (2003) april
elephant (2003),violence (2003) drama in america elephant adolescence
"eye, the (gin gwai) (jian gui) (2002)","gui) eye, (jian (gin thriller transplants (2002) the gwai)"
you'll never get rich (1941),can rita you'll (1941) hayworth never rich comedy romance get dance! musical
"unvanquished, the (aparajito) (1957)","(aparajito) drama unvanquished, india (1957) the"
shattered glass (2003),glass drama crime journalism (2003) shattered
elf (2003),children comedy elf christmas fantasy (2003)
billabong odyssey (2003),billabong wave odyssey (2003) documentary surfing big
father of the bride (1991),bride of remake (1991) wedding comedy father the
tupac: resurrection (2003),(2003) resurrection music documentary rap tupac: business
21 grams (2003),drama romance mystery 21 crime thriller depressing (2003) grams
devil's playground (2002),devil's playground documentary (2002) amish
desk set (1957),tracy and comedy romance desk (1957) hepburn set
wargames (1983),sci-fi (1983) drama war cold thriller wargames
"ordet (word, the) (1955)","drama (1955) ordet the) (word, religion"
"tale of two cities, a (1935)","cities, of drama two (1935) tale a dickens"
"passion of joan of arc, the (passion de jeanne d'arc, la) (1928)","de (1928) of d'arc, jeanne joan drama passion la) arc, saint (passion the"
hannah and her sisters (1986),her and (1986) drama hannah comedy romance family sisters
"night of the hunter, the (1955)","of drama and (1955) thriller evil good hunter, film-noir night the"
presumed innocent (1990),presumed drama innocent thriller crime turow court scott (1990)
proof (1991),(1991) drama notable nudity comedy romance proof
battle royale (batoru rowaiaru) (2000),dystopia drama goretastic satire brutal social on commentary a violence royale bloody thriller horror controversial (2000) rowaiaru) book action based (batoru survival battle
"wedding banquet, the (xi yan) (1993)","netflix queue banquet, yan) (1993) drama in wedding comedy romance (xi the"
"salo, or the 120 days of sodom (salò o le 120 giornate di sodoma) (1976)","drama o days disturbing or confrontational giornate harsh 120 le (salò bleak the of haunting di sodom sodoma) thought-provoking inhumane (1976) salo,"
"midnight clear, a (1992)","clear, netflix (1992) queue drama war in midnight a"
flying down to rio (1933),to down (1933) and flying comedy romance rogers rio astaire musical
follow the fleet (1936),fleet and (1936) comedy romance follow rogers astaire musical the
roberta (1935),and (1935) comedy romance roberta rogers astaire musical
swing time (1936),time and (1936) comedy romance rogers swing astaire musical
national velvet (1944),horses children national drama velvet (1944)
dark victory (1939),drama dark illness romance terminal victory (1939)
birdman of alcatraz (1962),of alcatraz drama birdman prison (1962) birds
"macbeth (a.k.a. tragedy of macbeth, the) (1971)","netflix shakespeare tragedy of queue macbeth, macbeth drama in (a.k.a. the) (1971)"
red river (1948),drive cattle river action adventure red western (1948)
"woman under the influence, a (1974)","netflix (1974) queue drama woman in influence, under a the"
"shot in the dark, a (1964)","shot dark, in comedy mystery crime (1964) a clousseau the"
jezebel (1938),davis oscar (1938) jezebel drama actress) (best bette
"hunchback of notre dame, the (1939)","disability of drama notre dame, hunchback (1939) the"
pygmalion (1938),(1938) drama comedy pygmalion george shaw bernard
"passage to india, a (1984)","to (1984) drama adventure forster e.m. india, passage a"
black orpheus (orfeu negro) (1959),netflix (1959) queue orpheus drama in romance black negro) (orfeu
hero (ying xiong) (2002),(ying martial arts drama xiong) action adventure (2002) hero
horse feathers (1932),brothers feathers (1932) comedy marx horse
adam's rib (1949),tracy and rib adam's romance comedy hepburn (1949)
"night at the opera, a (1935)","at brothers (1935) musical comedy romance opera, marx opera a night the"
in america (2002),drama in romance (2002) america immigrants
my flesh and blood (2003),netflix my blood flesh queue and in documentary (2003)
big fish (2003),sentimental surreal (2003) dreamlike burton drama romance tim fish fantasy big
"lord of the rings: the return of the king, the (2003)","cast world return drama fantasy (2003) great rings scenic adventure king, the of tolkein stylized lord rings: soundtrack tolkien action ensemble"
"fog of war: eleven lessons from the life of robert s. mcnamara, the (2003)","lessons war: robert of mcnamara, from war life s. documentary vietnam the (2003) eleven fog"
house of sand and fog (2003),estate sand of and drama real (2003) house fog
monster (2003),killer monster drama crime (2003) serial
cold mountain (2003),drama war cold mountain romance civil (2003)
jane eyre (1970),drama bronte jane (1970) eyre charlotte
i was a male war bride (1949),bride men war dressing in drag was comedy romance cross i male a (1949)
dark passage (1947),drama romance thriller crime amnesia film-noir (1947) passage dark
"ox-bow incident, the (1943)","netflix (1943) queue incident, drama in western ox-bow the"
they drive by night (1940),drive they drama truckers by (1940) night
"strada, la (1954)","la circus drama strada, (1954)"
the butterfly effect (2004),fiction sci-fi time reality science travel drama (2004) thriller alternate effect butterfly the
touching the void (2003),adventure mountain documentary touching void (2003) climbing the
thirteen (2003),adolescence thirteen drama (2003)
diary of a country priest (journal d'un curé de campagne) (1951),de country of diary drama (journal priest curé campagne) (1951) d'un religion a
"passion of the christ, the (2004)","christ, of drama passion (2004) religion the"
"good bye, lenin! (2003)","drama war cold lenin! comedy good (2003) bye,"
eternal sunshine of the spotless mind (2004),reality surreal atmospheric melancholy memory romantic drama mind-bending sunshine comedy humane philosophy bittersweet sci-fi emotional dreamlike arthouse jim film alternate eternal surrealism imagination the of intelligent romance lovely (2004) artistic mind cult feel-good happpiness insightful spotless colourful carrey thought-provoking beautiful love quirky
dogville (2003),grace drama mystery thriller (2003) dogville
i'm not scared (io non ho paura) (2003),not (io i'm non drama scared katie mystery thriller adolescence crime ho (2003) paura) for
kill bill: vol. 2 (2004),vol. 2 revenge drama action (2004) bill: thriller kill
"punisher, the (2004)","punisher, book comic action (2004) crime thriller the"
paper clips (2004),(2004) documentary clips holocaust paper
13 going on 30 (2004),30 ruffalo going comedy romance (2004) on 13 fantasy mark
mean girls (2004),girls lesbian school clever high comedy (2004) mean subtext
watch on the rhine (1943),(1943) ii world drama war watch rhine on the
"three faces of eve, the (1957)","personalities of drama three multiple (1957) faces eve, the"
